step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
343,3,33.333333333333336,0.24242424242424232,0,0,0
344,3,33.333333333333336,0.24242424242424232,0,0,0
345,3,33.333333333333336,0.24242424242424232,0,0,0
346,3,33.333333333333336,0.24242424242424232,0,0,0
347,3,33.333333333333336,0.24242424242424232,0,0,0
348,3,33.333333333333336,0.24242424242424232,0,0,0
349,3,33.333333333333336,0.24242424242424232,0,0,0
350,3,33.333333333333336,0.24242424242424232,0,0,0
351,3,33.333333333333336,0.24242424242424232,0,0,0
352,3,33.333333333333336,0.24242424242424232,0,0,0
353,3,33.333333333333336,0.24242424242424232,0,0,0
354,3,33.333333333333336,0.24242424242424232,0,0,0
355,3,33.333333333333336,0.24242424242424232,0,0,0
356,3,33.333333333333336,0.24242424242424232,0,0,0
357,3,33.333333333333336,0.24242424242424232,0,0,0
358,3,33.333333333333336,0.24242424242424232,0,0,0
359,3,33.333333333333336,0.24242424242424232,0,0,0
360,3,33.333333333333336,0.24242424242424232,0,0,0
361,3,33.333333333333336,0.24242424242424232,0,0,0
362,3,33.333333333333336,0.24242424242424232,0,0,0
363,3,33.333333333333336,0.24242424242424232,0,0,0
364,3,33.333333333333336,0.24242424242424232,0,0,0
365,3,33.333333333333336,0.24242424242424232,0,0,0
366,3,33.333333333333336,0.24242424242424232,0,0,0
367,3,33.333333333333336,0.24242424242424232,0,0,0
368,3,33.333333333333336,0.24242424242424232,0,0,0
369,3,33.333333333333336,0.24242424242424232,0,0,0
370,3,33.333333333333336,0.24242424242424232,0,0,0
371,3,33.333333333333336,0.24242424242424232,0,0,0
372,3,33.333333333333336,0.24242424242424232,0,0,0
373,3,33.333333333333336,0.24242424242424232,0,0,0
374,3,33.333333333333336,0.24242424242424232,0,0,0
375,3,33.333333333333336,0.24242424242424232,0,0,0
376,3,33.333333333333336,0.24242424242424232,0,0,0
377,3,33.333333333333336,0.24242424242424232,0,0,0
378,3,33.333333333333336,0.24242424242424232,0,0,0
379,3,33.333333333333336,0.24242424242424232,0,0,0
380,3,33.333333333333336,0.24242424242424232,0,0,0
381,3,33.333333333333336,0.24242424242424232,0,0,0
382,3,33.333333333333336,0.24242424242424232,0,0,0
383,3,33.333333333333336,0.24242424242424232,0,0,0
384,3,33.333333333333336,0.24242424242424232,0,0,0
385,3,33.333333333333336,0.24242424242424232,0,0,0
